id	state_id	name	created_at	updated_at
193	3	Sebt Jahjouh	2024-02-13 19:35:17	2024-02-13 19:35:17
194	3	Sidi Addi	2024-02-13 19:35:17	2024-02-13 19:35:17
195	8	Tichoute	2024-02-13 19:35:17	2024-02-13 19:35:17
196	5	Tighassaline	2024-02-13 19:35:17	2024-02-13 19:35:17
197	5	Tighza	2024-02-13 19:35:17	2024-02-13 19:35:17
198	3	Timahdite	2024-02-13 19:35:17	2024-02-13 19:35:17
199	8	Tinejdad	2024-02-13 19:35:17	2024-02-13 19:35:17
200	3	Tizguite	2024-02-13 19:35:17	2024-02-13 19:35:17
201	3	Toulal	2024-02-13 19:35:17	2024-02-13 19:35:17
202	8	Tounfite	2024-02-13 19:35:17	2024-02-13 19:35:17
203	3	Zaouia d'Ifrane	2024-02-13 19:35:17	2024-02-13 19:35:17
204	8	Zaïda	2024-02-13 19:35:17	2024-02-13 19:35:17
205	2	Ahfir	2024-02-13 19:35:17	2024-02-13 19:35:17
206	2	Aklim	2024-02-13 19:35:17	2024-02-13 19:35:17
207	2	Al Aroui	2024-02-13 19:35:17	2024-02-13 19:35:17
208	2	Aïn Bni Mathar	2024-02-13 19:35:17	2024-02-13 19:35:17
209	2	Aïn Erreggada	2024-02-13 19:35:17	2024-02-13 19:35:17
210	2	Ben Taïeb	2024-02-13 19:35:17	2024-02-13 19:35:17
211	2	Berkane	2024-02-13 19:35:17	2024-02-13 19:35:17
212	2	Bni Ansar	2024-02-13 19:35:17	2024-02-13 19:35:17
213	2	Bni Chiker	2024-02-13 19:35:17	2024-02-13 19:35:17
214	2	Bni Drar	2024-02-13 19:35:17	2024-02-13 19:35:17
215	2	Bni Tadjite	2024-02-13 19:35:17	2024-02-13 19:35:17
216	2	Bouanane	2024-02-13 19:35:17	2024-02-13 19:35:17
217	2	Bouarfa	2024-02-13 19:35:17	2024-02-13 19:35:17
218	2	Bouhdila	2024-02-13 19:35:17	2024-02-13 19:35:17
219	2	Dar El Kebdani	2024-02-13 19:35:17	2024-02-13 19:35:17
220	2	Debdou	2024-02-13 19:35:17	2024-02-13 19:35:17
221	2	Douar Kannine	2024-02-13 19:35:17	2024-02-13 19:35:17
222	2	Driouch	2024-02-13 19:35:17	2024-02-13 19:35:17
223	2	El Aïoun Sidi Mellouk	2024-02-13 19:35:17	2024-02-13 19:35:17
224	2	Farkhana	2024-02-13 19:35:17	2024-02-13 19:35:17
225	2	Figuig	2024-02-13 19:35:17	2024-02-13 19:35:17
226	2	Ihddaden	2024-02-13 19:35:17	2024-02-13 19:35:17
227	2	Jaâdar	2024-02-13 19:35:17	2024-02-13 19:35:17
228	2	Jerada	2024-02-13 19:35:17	2024-02-13 19:35:17
229	2	Kariat Arekmane	2024-02-13 19:35:17	2024-02-13 19:35:17
230	2	Kassita	2024-02-13 19:35:17	2024-02-13 19:35:17
231	2	Kerouna	2024-02-13 19:35:17	2024-02-13 19:35:17
232	2	Laâtamna	2024-02-13 19:35:17	2024-02-13 19:35:17
233	2	Madagh	2024-02-13 19:35:17	2024-02-13 19:35:17
234	2	Midar	2024-02-13 19:35:17	2024-02-13 19:35:17
235	2	Nador	2024-02-13 19:35:17	2024-02-13 19:35:17
236	2	Naima	2024-02-13 19:35:17	2024-02-13 19:35:17
237	2	Oued Heimer	2024-02-13 19:35:17	2024-02-13 19:35:17
238	2	Oujda	2024-02-13 19:35:17	2024-02-13 19:35:17
239	2	Ras El Ma	2024-02-13 19:35:17	2024-02-13 19:35:17
240	2	Saïdia	2024-02-13 19:35:17	2024-02-13 19:35:17
241	2	Selouane	2024-02-13 19:35:17	2024-02-13 19:35:17
242	2	Sidi Boubker	2024-02-13 19:35:17	2024-02-13 19:35:17
243	2	Sidi Slimane Echcharaa	2024-02-13 19:35:17	2024-02-13 19:35:17
244	2	Talsint	2024-02-13 19:35:17	2024-02-13 19:35:17
245	2	Taourirt	2024-02-13 19:35:17	2024-02-13 19:35:17
246	2	Tendrara	2024-02-13 19:35:17	2024-02-13 19:35:17
247	2	Tiztoutine	2024-02-13 19:35:17	2024-02-13 19:35:17
248	2	Touima	2024-02-13 19:35:17	2024-02-13 19:35:17
249	2	Touissit	2024-02-13 19:35:17	2024-02-13 19:35:17
250	2	Zaïo	2024-02-13 19:35:17	2024-02-13 19:35:17
251	2	Zeghanghane	2024-02-13 19:35:17	2024-02-13 19:35:17
252	4	Rabat	2024-02-13 19:35:17	2024-02-13 19:35:17
253	4	Salé	2024-02-13 19:35:17	2024-02-13 19:35:17
254	4	Ain El Aouda	2024-02-13 19:35:17	2024-02-13 19:35:17
255	4	Harhoura	2024-02-13 19:35:17	2024-02-13 19:35:17
256	4	Khémisset	2024-02-13 19:35:17	2024-02-13 19:35:17
257	4	Oulmès	2024-02-13 19:35:17	2024-02-13 19:35:17
258	4	Rommani	2024-02-13 19:35:17	2024-02-13 19:35:17
259	4	Sidi Allal El Bahraoui	2024-02-13 19:35:17	2024-02-13 19:35:17
260	4	Sidi Bouknadel	2024-02-13 19:35:17	2024-02-13 19:35:17
261	4	Skhirate	2024-02-13 19:35:17	2024-02-13 19:35:17
262	4	Tamesna	2024-02-13 19:35:17	2024-02-13 19:35:17
263	4	Témara	2024-02-13 19:35:17	2024-02-13 19:35:17
264	4	Tiddas	2024-02-13 19:35:17	2024-02-13 19:35:17
265	4	Tiflet	2024-02-13 19:35:17	2024-02-13 19:35:17
266	4	Touarga	2024-02-13 19:35:17	2024-02-13 19:35:17
267	9	Agadir	2024-02-13 19:35:17	2024-02-13 19:35:17
268	8	Agdz	2024-02-13 19:35:17	2024-02-13 19:35:17
269	9	Agni Izimmer	2024-02-13 19:35:17	2024-02-13 19:35:17
270	9	Aït Melloul	2024-02-13 19:35:17	2024-02-13 19:35:17
271	8	Alnif	2024-02-13 19:35:17	2024-02-13 19:35:17
272	9	Anzi	2024-02-13 19:35:17	2024-02-13 19:35:17
273	9	Aoulouz	2024-02-13 19:35:17	2024-02-13 19:35:17
274	9	Aourir	2024-02-13 19:35:17	2024-02-13 19:35:17
275	9	Arazane	2024-02-13 19:35:17	2024-02-13 19:35:17
276	9	Aït Baha	2024-02-13 19:35:17	2024-02-13 19:35:17
277	9	Aït Iaâza	2024-02-13 19:35:17	2024-02-13 19:35:17
278	8	Aït Yalla	2024-02-13 19:35:17	2024-02-13 19:35:17
279	9	Ben Sergao	2024-02-13 19:35:17	2024-02-13 19:35:17
280	9	Biougra	2024-02-13 19:35:17	2024-02-13 19:35:17
281	8	Boumalne-Dadès	2024-02-13 19:35:17	2024-02-13 19:35:17
282	9	Dcheira El Jihadia	2024-02-13 19:35:17	2024-02-13 19:35:17
283	9	Drargua	2024-02-13 19:35:17	2024-02-13 19:35:17
284	9	El Guerdane	2024-02-13 19:35:17	2024-02-13 19:35:17
285	8	Harte Lyamine	2024-02-13 19:35:17	2024-02-13 19:35:17
286	9	Ida Ougnidif	2024-02-13 19:35:17	2024-02-13 19:35:17
287	8	Ifri	2024-02-13 19:35:17	2024-02-13 19:35:17
288	9	Igdamen	2024-02-13 19:35:17	2024-02-13 19:35:17
289	8	Ighil n'Oumgoun	2024-02-13 19:35:17	2024-02-13 19:35:17
290	8	Imassine	2024-02-13 19:35:17	2024-02-13 19:35:17
291	9	Inezgane	2024-02-13 19:35:17	2024-02-13 19:35:17
292	9	Irherm	2024-02-13 19:35:17	2024-02-13 19:35:17
293	8	Kelaat-M'Gouna	2024-02-13 19:35:17	2024-02-13 19:35:17
294	9	Lakhsas	2024-02-13 19:35:17	2024-02-13 19:35:17
295	9	Lakhsass	2024-02-13 19:35:17	2024-02-13 19:35:17
296	9	Lqliâa	2024-02-13 19:35:17	2024-02-13 19:35:17
297	8	M'semrir	2024-02-13 19:35:17	2024-02-13 19:35:17
298	9	Massa (Maroc)	2024-02-13 19:35:17	2024-02-13 19:35:17
